video_name,frame_cambio,tiempo_ms,knee_angle_deg,delta_previo_deg,delta_actual_deg,cambio_direccion
bulgarian_01.mp4,41,1366,161.02,0.66,-0.63,sube_a_baja
bulgarian_01.mp4,85,2833,89.9,-0.58,0.54,baja_a_sube
bulgarian_02.mp4,27,900,91.33,-0.62,0.75,baja_a_sube
bulgarian_02.mp4,54,1800,158.72,0.57,-0.79,sube_a_baja
bulgarian_02.mp4,89,2966,91.15,-0.51,0.51,baja_a_sube
bulgarian_04.mp4,42,1400,88.69,-0.52,0.61,baja_a_sube
bulgarian_04.mp4,77,2566,165.94,0.58,-0.65,sube_a_baja
bulgarian_05.mp4,41,1366,95.89,-0.6,0.59,baja_a_sube
bulgarian_05.mp4,72,2400,160.97,0.86,-0.77,sube_a_baja
bulgarian_06.mp4,54,1800,93.9,-0.52,0.57,baja_a_sube
bulgarian_07.mp4,82,2733,68.99,-0.51,0.67,baja_a_sube
bulgarian_07.mp4,140,4666,168.53,0.62,-0.62,sube_a_baja
bulgarian_07.mp4,214,7133,69.33,-0.51,0.73,baja_a_sube
bulgarian_07.mp4,274,9133,166.41,0.56,-0.59,sube_a_baja
bulgarian_07.mp4,363,12100,66.29,-0.53,0.53,baja_a_sube
