video_name,frame,tiempo_ms,landmarks_confiables,ear_x,ear_y,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,knee_angle_deg,torso_inclination_signed_deg,torso_inclination_abs_deg,neck_inclination_signed_deg,neck_inclination_abs_deg
bulgarian_01.mp4,0,0,True,984.51,394.18,875.19,440.3,730.87,697.42,987.27,685.5,983.95,939.48,86.59,29.31,29.31,67.12,67.12
bulgarian_01.mp4,1,33,True,1014.01,424.1,916.32,464.42,774.93,705.05,1016.7,700.18,1012.5,935.33,86.83,29.53,29.53,67.21,67.21
bulgarian_01.mp4,2,66,True,1039.79,450.17,949.29,485.83,812.77,713.88,1041.34,713.1,1036.52,931.92,87.18,29.81,29.81,67.47,67.47
bulgarian_01.mp4,3,100,True,1060.8,468.97,973.89,501.76,841.48,720.14,1060.1,723.66,1055.43,929.72,87.67,30.09,30.09,67.84,67.84
bulgarian_01.mp4,4,133,True,1076.76,482.21,992.88,512.19,863.8,723.9,1074.72,730.95,1069.57,928.3,88.22,30.35,30.35,68.34,68.34
bulgarian_01.mp4,5,166,True,1088.59,490.73,1007.8,519.25,880.65,726.09,1085.09,736.59,1079.81,927.36,88.85,30.59,30.59,68.78,68.78
bulgarian_01.mp4,6,200,True,1098.06,495.94,1020.01,523.56,893.66,726.8,1093.12,740.19,1088.36,926.73,89.55,30.85,30.85,69.13,69.13
bulgarian_01.mp4,7,233,True,1105.71,498.59,1029.82,525.52,903.53,725.15,1099.34,742.71,1094.85,926.17,90.39,31.14,31.14,69.39,69.39
bulgarian_01.mp4,8,266,True,1112.07,499.6,1037.81,526.48,910.96,721.42,1104.02,744.53,1099.76,925.84,91.41,31.52,31.52,69.54,69.54
bulgarian_01.mp4,9,300,True,1117.21,498.83,1044.91,525.16,917.37,716.27,1107.54,745.89,1103.67,925.37,92.65,31.96,31.96,69.63,69.63
bulgarian_01.mp4,10,333,True,1121.9,495.05,1050.79,520.47,922.61,710.17,1109.66,746.7,1106.07,925.06,94.1,32.38,32.38,69.77,69.77
bulgarian_01.mp4,11,366,True,1125.93,488.55,1056.38,513.94,927.42,703.41,1110.43,747.09,1107.84,924.84,95.8,32.75,32.75,69.8,69.8
bulgarian_01.mp4,12,400,True,1129.83,480.81,1061.45,505.86,931.88,695.82,1110.51,746.82,1108.78,924.83,97.71,33.06,33.06,69.82,69.82
bulgarian_01.mp4,13,433,True,1133.62,472.01,1066.27,496.59,936.14,687.32,1110.2,746.59,1109.37,924.82,99.88,33.31,33.31,69.85,69.85
bulgarian_01.mp4,14,466,True,1137.37,462.87,1070.88,486.61,940.63,678.6,1109.77,746.69,1109.73,924.82,102.29,33.48,33.48,69.95,69.95
bulgarian_01.mp4,15,500,True,1140.86,453.71,1074.8,476.56,946.01,670.04,1109.34,746.74,1109.87,924.88,104.89,33.51,33.51,70.14,70.14
