segment_type,start_change_direction,end_change_direction,normalized_percent,segment_count,avg_knee_angle_deg,avg_torso_inclination_abs_deg,avg_neck_inclination_abs_deg
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,0,5,82.22,36.86,61.65
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,1,5,82.48,36.9,61.63
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,2,5,82.75,36.94,61.61
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,3,5,83.05,36.98,61.61
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,4,5,83.4,37.03,61.6
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,5,5,83.78,37.08,61.59
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,6,5,84.19,37.13,61.6
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,7,5,84.62,37.19,61.59
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,8,5,85.07,37.24,61.58
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,9,5,85.54,37.29,61.54
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,10,5,86.02,37.34,61.51
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,11,5,86.53,37.38,61.46
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,12,5,87.05,37.42,61.41
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,13,5,87.6,37.46,61.35
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,14,5,88.17,37.5,61.28
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,15,5,88.77,37.54,61.19
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,16,5,89.41,37.57,61.09
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,17,5,90.1,37.6,60.98
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,18,5,90.88,37.62,60.89
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,19,5,91.73,37.63,60.79
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,20,5,92.61,37.64,60.67
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,21,5,93.58,37.63,60.56
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,22,5,94.57,37.61,60.44
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,23,5,95.6,37.58,60.32
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,24,5,96.67,37.54,60.17
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,25,5,97.75,37.49,60.02
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,26,5,98.87,37.43,59.87
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,27,5,100.03,37.35,59.73
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,28,5,101.19,37.27,59.6
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,29,5,102.35,37.17,59.47
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,30,5,103.55,37.08,59.47
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,31,5,104.74,36.97,59.46
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,32,5,105.94,36.85,59.45
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,33,5,107.17,36.73,59.47
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,34,5,108.4,36.61,59.5
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,35,5,109.64,36.48,59.53
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,36,5,110.87,36.34,59.6
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,37,5,112.1,36.21,59.69
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,38,5,113.31,36.07,59.78
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,39,5,114.49,35.92,59.87
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,40,5,115.66,35.78,59.97
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,41,5,116.8,35.64,60.06
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,42,5,117.92,35.5,60.14
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,43,5,119.01,35.36,60.23
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,44,5,120.09,35.22,60.31
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,45,5,121.15,35.09,60.39
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,46,5,122.17,34.94,60.48
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,47,5,123.16,34.8,60.57
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,48,5,124.13,34.66,60.66
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,49,5,125.09,34.51,60.74
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,50,5,126.05,34.36,60.81
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,51,5,127.03,34.21,60.84
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,52,5,128.02,34.05,60.86
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,53,5,129.03,33.89,60.87
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,54,5,130.06,33.72,60.87
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,55,5,131.09,33.55,60.87
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,56,5,132.16,33.38,60.85
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,57,5,133.24,33.2,60.84
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,58,5,134.34,33.04,60.84
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,59,5,135.43,32.87,60.83
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,60,5,136.54,32.69,60.82
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,61,5,137.67,32.52,60.82
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,62,5,138.8,32.35,60.81
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,63,5,139.96,32.18,60.79
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,64,5,141.13,32.01,60.78
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,65,5,142.31,31.84,60.76
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,66,5,143.52,31.67,60.72
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,67,5,144.71,31.51,60.68
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,68,5,145.9,31.34,60.62
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,69,5,147.07,31.18,60.53
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,70,5,148.22,31.03,60.44
baja_a_sube|sube_a_baja,baja_a_sube,sube_a_baja,71,5,149.37,30.88,60.34
